Unnamed: 0,QUANTIDADE,SUBSTÂNCIA,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 20%,PMC 0%,PMC 12%,PMC 17%,PMC 17% ALC,"PMC 17,5%","PMC 17,5% ALC",PMC 18%,PMC 18% ALC,PMC 20%,RESTRIÇÃO HOSPITALAR,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2020,TARJA,Concentração,Volumes,Unidades,Medida
0,1,ALBUMINA HUMANA,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502618070008007,1015101080011,7897499450002,    -     ,    -     ,BERIBUMIN,200 MG/ML SOL INJ CT FA VD INC X 50 ML,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Biológico,Regulado,"204,45","204,45","232,33","246,33","246,33","247,82","247,82","249,33","249,33","255,56",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),200 MG/ML ,,,50 ML
1,1,ALBUMINA HUMANA,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502601804153413,1015101220026,7897499450941,    -     ,    -     ,ALBUREX 20,200G/L SOL INJ CT FA VD TRANS X 50ML,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Biológico,Regulado,"204,52","204,52","232,41","246,41","246,41","247,90","247,90","249,41","249,41","255,65",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,200G/L ,,,50ML
5,1,ALBUMINA HUMANA,33.348.731/0001-81,BIOTEST FARMACÊUTICA LTDA,524614020001704,1091400190027,4036124019518,    -     ,    -     ,ALBIOMIN,200 G/L SOL INJ IV CT FA VD TRANS X 50 ML,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Biológico,Regulado,"247,97","247,97","281,78","298,76","298,76","300,57","300,57","302,40","302,40","309,96",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),200 G/L ,,,50 ML
6,1,ALBUMINA HUMANA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504400601154415,1163700400036,7896014649006,    -     ,    -     ,BLAUBIMAX,20 % SOL INJ CT FA VD TRANS 50ML + EQP,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Biológico,Regulado,"253,91","253,91","288,53","305,92","305,92","307,77","307,77","309,65","309,65","317,39",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,20 % ,,,50
7,1,ALBUMINA HUMANA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504416090059107,1163700400087,7896014648832,    -     ,    -     ,BLAUBIMAX,20 % SOL INJ CT FA VD TRANS X 50 ML,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Biológico,Regulado,"253,91","253,91","288,53","305,92","305,92","307,77","307,77","309,65","309,65","317,39",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,20 % ,,,50 ML
8,1,ALBUMINA HUMANA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504416090059007,1163700400095,7896014648849,    -     ,    -     ,BLAUBIMAX,20 % SOL INJ CX 10 FA VD TRANS X  50 ML,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Biológico,Regulado,"2539,21","2539,21","2885,47","3059,29","3059,29","3077,83","3077,83","3096,60","3096,60","3174,01",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,20 % ,CX,10,50 ML
9,1,ALBUMINA HUMANA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504416090058907,1163700400109,7896014648856,    -     ,    -     ,BLAUBIMAX,20 % SOL INJ CX 100 FA VD TRANS X 50 ML,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Biológico,Regulado,"25392,17","25392,17","28854,75","30592,97","30592,97","30778,38","30778,38","30966,06","30966,06","31740,21",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,20 % ,CX,100,50 ML
10,1,ALBUMINA HUMANA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504416090059407,1163700490027,7896014621040,    -     ,    -     ,ALBUMAX,200 MG/ML SOL INJ CT 1 FA VD INC X 50ML,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Similar,Regulado,"247,69","247,69","281,47","298,42","298,42","300,23","300,23","302,06","302,06","309,61",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,200 MG/ML ,CT,1,50ML
11,1,ALBUMINA HUMANA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504416090059507,1163700490035,7896014621057,    -     ,    -     ,ALBUMAX,200 MG/ML SOL INJ CX 10 FA VD INC X 50 ML,K3B3 - SOLUÇÕES DE PROTEINAS >5%,Similar,Regulado,"2476,86","2476,86","2814,61","2984,17","2984,17","3002,25","3002,25","3020,56","3020,56","3096,08",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,200 MG/ML ,CX,10,50 ML
13,1,ALBUMINA HUMANA,02.513.899/0001-71,GRIFOLS BRASIL LTDA,510900102151415,1364100010025,8470006706121,    -     ,    -     ,ALBUMINA HUMANA GRIFOLS,"0,2G/ML SOL INJ FA VD INC 50ML",K3B3 - SOLUÇÕES DE PROTEINAS >5%,Novo,Regulado,"304,37","304,37","345,88","366,71","366,71","368,93","368,93","371,18","371,18","380,46",,,,,,,,,,Sim,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"0,2G/ML ",,,50
